,0
674,6042.768
675,6058.786
676,6056.048
677,6031.365
678,6025.91
679,6005.474
680,6020.386
681,6018.604
682,5939.586
683,5953.324
684,5915.143
685,5886.884
686,5954.364
687,5971.265
688,5943.366
689,5935.282
690,5935.586
691,5891.77
692,5898.363
693,5901.684
694,5908.711
695,5935.846
696,5955.459
697,5942.096
698,5937.574
699,5914.743
700,5906.934
701,5921.515
702,5897.564
703,5896.676
704,5900.089
705,5841.889
706,5845.329
707,5828.416
708,5828.232
709,5862.863
710,5857.157
711,5880.103
712,5866.59
713,5904.053
714,5905.128
715,5925.43
716,5937.401
717,5923.634
718,5927.934
719,5920.122
720,5909.236
721,5947.506
722,5967.579
723,5999.497
724,5983.103
725,5996.875
726,5972.058
727,5950.652
728,5952.128
729,5975.774
730,5974.362
731,5956.916
732,5967.809
733,5971.141
734,5980.611
735,6034.084
736,6043.947
737,6025.359
738,6019.963
739,6032.15
740,6059.844
741,6062.25
742,6055.791
743,6053.954
744,6070.463
745,6054.599
746,6050.47
747,6046.422
748,6050.976
749,6045.643
750,6047.232
751,6072.559
752,6065.453
753,6069.547
754,6083.039
755,6078.633
756,6092.018
757,6081.792
758,6081.364
759,6070.766
760,6069.996
761,6075.239
762,6055.484
763,6046.902
764,6058.88
765,6056.525
766,6038.449
767,6024.769
768,6035.489
769,6045.288
770,6033.442
771,6032.277
772,5997.466
773,6004.305
774,6030.937
775,6020.83
776,6005.536
777,5978.985
778,5997.312
779,6005.851
780,6015.427
781,6026.409
782,6028.084
783,6041.326
784,5966.705
785,5942.312
786,5954.812
787,5944.102
788,5925.658
789,5925.907
790,5934.124
791,5912.159
792,5926.124
793,5941.826
794,5939.377
795,5952.063
796,5935.828
797,5921.842
798,5944.429
799,5947.395
800,5946.221
801,5976.691
802,5966.403
803,5969.588
804,5958.301
805,5958.392
806,5939.753
807,5933.224
808,5885.506
809,5868.817
810,5837.86
811,5854.403
812,5842.602
813,5842.937
814,5862.091
815,5857.396
816,5828.91
817,5836.519
818,5769.684
819,5801.699
820,5809.833
821,5819.414
822,5784.621
823,5746.899
824,5755.058
825,5653.896
826,5680.234
827,5668.21
828,5575.517
829,5608.369
830,5603.992
831,5579.018
832,5589.307
833,5604.167
834,5522.326
835,5550.353
836,5589.391
837,5541.428
838,5510.055
839,5453.974
840,5453.629
841,5394.329
842,5410.125
843,5465.888
844,5457.327
845,5464.481
846,5487.018
847,5463.897
848,5445.822
849,5481.763
850,5474.137
851,5467.056
852,5415.964
853,5382.719
854,5422.249
855,5411.982
856,5380.338
857,5320.88
858,5297.489
859,5257.285
860,5281.109
861,5344.803
862,5355.978
863,5360.292
864,5365.542
865,5336.045
866,5352.772
867,5404.599
868,5387.204
869,5371.508
870,5365.538
871,5321.102
872,5335.54
873,5435.361
874,5445.841
875,5550.881
876,5520.755
